PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,"02807, USA",,,,,,,,,
Location:,"Lat, Lon: 41.17, -71.58",,,,,,,,,
Lat (deg N):,41.17,,,,,,,,,
Long (deg W):,71.58,,,,,,,,,
Elev (m):,23,,,,,,,,,
DC System Size (kW):,1,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14.08,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.557,,,,,,,,,
Capacity Factor (%),"15.9	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,13,15,241,63,7,4,177.023,10.139,153.365,145.067
1,13,16,0,0,7,4,0,7,0,0
1,13,17,0,0,7,4,0,7,0,0
1,13,18,0,0,7,4,0,7,0,0
1,13,19,0,0,7,4,0,7,0,0
1,13,20,0,0,7,4,0,7,0,0
1,13,21,0,0,7,4,0,7,0,0
1,13,22,0,0,8,4,0,8,0,0
1,13,23,0,0,8,5,0,8,0,0
1,14,0,0,0,8,5,0,8,0,0
1,14,1,0,0,8,5,0,8,0,0
1,14,2,0,0,8,4,0,8,0,0
1,14,3,0,0,8,4,0,8,0,0
1,14,4,0,0,8,4,0,8,0,0
1,14,5,0,0,8,4,0,8,0,0
1,14,6,0,0,8,3,0,8,0,0
1,14,7,0,0,8,2,0,8,0,0
1,14,8,0,45,8,2,42.777,7.055,39.854,34.005
1,14,9,0,23,8,1,21.791,6.294,20.369,14.893
1,14,10,0,88,8,1,84.338,8.321,78.144,71.523
1,14,11,0,83,8,1,78.958,8.502,73.101,66.585
1,14,12,0,76,8,1,72.217,8.24,66.936,60.547
1,14,13,0,39,8,2,36.993,7.161,34.449,28.705
1,14,14,0,18,8,2,17.047,6.463,15.923,10.53
1,14,15,0,9,8,2,8.513,6.146,7.963,2.716
1,14,16,0,0,7,2,0,7,0,0
1,14,17,0,0,7,3,0,7,0,0
1,14,18,0,0,6,4,0,6,0,0
1,14,19,0,0,5,5,0,5,0,0
1,14,20,0,0,5,5,0,5,0,0
1,14,21,0,0,5,5,0,5,0,0
1,14,22,0,0,5,5,0,5,0,0
1,14,23,0,0,4,4,0,4,0,0
1,15,0,0,0,4,4,0,4,0,0
1,15,1,0,0,4,3,0,4,0,0
1,15,2,0,0,4,3,0,4,0,0
1,15,3,0,0,4,2,0,4,0,0
1,15,4,0,0,3,2,0,3,0,0
1,15,5,0,0,3,1,0,3,0,0
1,15,6,0,0,3,0,0,3,0,0
1,15,7,284,17,3,0,96.628,3.307,75.415,68.851
1,15,8,664,46,3,0,339.062,15.311,281.804,270.157
1,15,9,807,61,4,0,545.419,25.774,453.507,436.426
1,15,10,407,150,5,1,464.952,20.512,404.248,388.838
1,15,11,574,134,6,1,597.167,25.104,509.418,490.33
1,15,12,539,142,7,1,574.327,25.989,487.875,469.574
1,15,13,389,149,7,1,446.755,22.011,385.493,370.696
1,15,14,245,122,6,1,280.896,15.198,247.78,237.081
1,15,15,112,68,5,1,122.112,8.089,108.949,101.667
1,15,16,0,8,5,1,7.569,3.215,7.169,1.938
1,15,17,0,0,5,1,0,5,0,0
1,15,18,0,0,5,1,0,5,0,0
1,15,19,0,0,5,1,0,5,0,0
1,15,20,0,0,5,1,0,5,0,0
1,15,21,0,0,5,1,0,5,0,0
1,15,22,0,0,5,1,0,5,0,0
1,15,23,0,0,4,1,0,4,0,0
1,16,0,0,0,4,1,0,4,0,0
1,16,1,0,0,4,2,0,4,0,0
1,16,2,0,0,4,2,0,4,0,0
1,16,3,0,0,4,3,0,4,0,0
1,16,4,0,0,4,3,0,4,0,0
1,16,5,0,0,4,3,0,4,0,0
1,16,6,0,0,4,2,0,4,0,0
1,16,7,0,10,4,2,9.464,2.07,9.008,3.743
1,16,8,0,50,4,2,48.033,3.182,45.502,39.544
1,16,9,0,61,4,1,57.92,3.5,54.793,48.65
1,16,10,0,66,4,0,62.683,3.412,59.322,53.088
1,16,11,0,129,4,0,126.294,6.896,117.745,110.268
1,16,12,4,159,5,0,161.611,10.351,148.391,140.211
1,16,13,0,133,5,0,131.902,9.527,121.572,114.009
1,16,14,0,77,4,0,74.248,5.546,69.627,63.182
1,16,15,0,43,4,0,40.943,2.6,38.882,33.053
1,16,16,0,3,4,0,2.835,0.16,2.72,0
1,16,17,0,0,4,0,0,4,0,0
1,16,18,0,0,4,0,0,4,0,0
1,16,19,0,0,4,0,0,4,0,0
1,16,20,0,0,4,0,0,4,0,0
1,16,21,0,0,4,1,0,4,0,0
1,16,22,0,0,3,1,0,3,0,0
1,16,23,0,0,3,2,0,3,0,0
1,17,0,0,0,3,3,0,3,0,0
1,17,1,0,0,3,3,0,3,0,0
1,17,2,0,0,2,3,0,2,0,0
1,17,3,0,0,2,3,0,2,0,0
1,17,4,0,0,2,3,0,2,0,0
1,17,5,0,0,2,3,0,2,0,0
1,17,6,0,0,2,3,0,2,0,0
1,17,7,203,19,2,3,80.344,2.089,64.9,58.553
1,17,8,609,52,3,3,326.504,9.452,279.705,268.118
1,17,9,781,65,3,3,536.962,15.257,469.032,451.405
1,17,10,851,72,4,3,681.628,20.251,591.222,568.989
1,17,11,869,78,4,3,750.412,22.252,648.005,623.442
1,17,12,859,79,5,3,741.328,23.18,637.274,613.161
1,17,13,828,75,5,3,661.297,21.269,570.409,549
1,17,14,756,65,5,3,510.757,17.475,440.445,423.816
1,17,15,596,47,4,3,303.242,11.059,255.411,244.503
1,17,16,0,18,4,3,17.208,3.377,16.288,10.888
1,17,17,0,0,4,3,0,4,0,0
1,17,18,0,0,4,2,0,4,0,0
1,17,19,0,0,4,2,0,4,0,0
1,17,20,0,0,4,2,0,4,0,0
1,17,21,0,0,4,1,0,4,0,0
1,17,22,0,0,5,1,0,5,0,0
1,17,23,0,0,5,1,0,5,0,0
1,18,0,0,0,5,0,0,5,0,0
1,18,1,0,0,5,0,0,5,0,0
1,18,2,0,0,5,0,0,5,0,0
1,18,3,0,0,4,0,0,4,0,0
1,18,4,0,0,4,1,0,4,0,0
1,18,5,0,0,4,2,0,4,0,0
1,18,6,0,0,4,3,0,4,0,0
1,18,7,0,12,4,3,11.362,2.41,10.799,5.501
1,18,8,0,15,5,3,14.198,3.477,13.433,8.086
1,18,9,0,26,5,2,24.638,3.544,23.304,17.773
1,18,10,0,42,5,2,39.847,4.019,37.613,31.808
1,18,11,4,160,5,1,162.381,8.059,150.601,142.369
1,18,12,152,209,5,0,348.662,18.24,308.179,295.769
1,18,13,0,72,5,0,68.4,9.165,63.143,56.832
1,18,14,107,140,4,2,219.007,8.261,200.952,191.485
1,18,15,52,74,4,4,100.68,5.053,92.645,85.717
1,18,16,0,9,3,5,8.517,1.859,8.114,2.865
1,18,17,0,0,3,6,0,3,0,0
1,18,18,0,0,2,7,0,2,0,0
1,18,19,0,0,2,7,0,2,0,0
1,18,20,0,0,2,7,0,2,0,0
1,18,21,0,0,1,6,0,1,0,0
1,18,22,0,0,0,6,0,0,0,0
1,18,23,0,0,0,6,0,0,0,0
1,19,0,0,0,0,5,0,0,0,0
1,19,1,0,0,0,5,0,0,0,0
1,19,2,0,0,0,5,0,0,0,0
1,19,3,0,0,0,5,0,0,0,0
1,19,4,0,0,0,5,0,0,0,0
1,19,5,0,0,0,6,0,0,0,0
1,19,6,0,0,0,6,0,0,0,0
1,19,7,0,1,0,6,0.944,-1.297,0.912,0
1,19,8,0,57,0,6,55.447,-0.342,53.314,47.2
1,19,9,489,101,0,7,410.747,5.467,376.647,362.133
1,19,10,407,155,1,8,473.058,7.267,436.616,420.118
1,19,11,477,163,1,8,558.83,8.59,514.318,495.049
1,19,12,831,91,1,8,738.739,11.326,670.489,644.971
1,19,13,431,157,2,8,488.306,8.794,447.399,430.53
1,19,14,231,137,2,8,292.985,5.682,270.234,258.914
1,19,15,533,57,2,8,292.236,5.495,254.154,243.28
1,19,16,147,16,2,8,60.563,2.073,49.148,43.118
